koi_fwm_sdec,koi_fwm_sra,koi_teq,koi_prad
48.82532,18.869322,291,2.89
46.566528,18.9960739,427,2.89
40.562552,19.3641139,700,2.9
43.85334,19.644521,539,2.9
44.656971,19.5760947,853,2.91
48.28144,19.548681,554,2.91
38.71007,19.6073913,474,2.91
41.237483,18.960662,1046,2.92
39.11526,19.757212,799,2.93
42.42406,19.717755,613,2.94
41.909226,19.8076753,786,2.94
40.49633,19.8834652,819,2.94
49.82565,19.3223715,1105,2.94
48.320462,19.8185497,683,2.94
46.89645,19.1400847,683,2.94
41.629664,18.9680792,878,2.94
48.09837,19.241171,629,2.95
40.52101,19.2156181,572,2.95
48.602903,19.5286097,1067,2.96
44.381594,20.034501,671,2.96
39.077187,19.1055498,923,2.96
46.266593,19.6941925,502,2.97
42.436398,19.4425958,821,2.98
41.30497,18.879497,1112,2.98
41.02322,19.4775235,643,2.98
42.40643,19.0905418,657,3
48.244328,19.8641039,895,3
45.9768,19.7376179,768,3.01
49.82522,19.322369,541,3.01
48.2247,19.752412,1160,3.02
39.59482,19.261106,728,3.03
42.338633,19.17986657,765,3.03
41.808466,19.1043756,742,3.04
42.16657,19.1736438,763,3.06
51.122,19.721092,1074,3.07
48.208602,19.8018778,875,3.07
38.51425,19.498634,675,3.08
44.315574,18.7519728,1094,3.08
42.166604,19.1736418,972,3.08
41.989037,19.1243605,567,3.09
48.14171,19.4623,881,3.1
48.14206,19.462258,492,3.1
39.11522,19.757254,920,3.1
38.34392,19.360891,993,3.11
42.869288,19.1849109,733,3.11
40.91929,19.0666643,366,3.12
44.397969,18.9654972,934,3.13
40.064523,19.2656406,864,3.14
39.03663,19.571223,605,3.15
49.479341,19.6145913,1023,3.15
43.581404,19.5374231,810,3.16
44.858041,19.4561308,569,3.17
46.32432,19.499993,360,3.19
46.937785,19.193742,1004,3.19
42.19489,19.1594251,574,3.2
40.417549,19.8530111,792,3.21
50.33661,19.622578,975,3.21
46.76255,19.249271,725,3.21
43.87595,19.303567,583,3.22
38.710143,19.6073918,640,3.23
43.0832462,19.50022832,497,3.23
39.770584,19.2541268,1447,3.24
47.838939,19.5742525,653,3.25
40.557582,19.629452,709,3.25
49.649076,19.0980923,413,3.25
41.909221,19.8076708,653,3.26
42.65769,19.096845,430,3.26
46.27618,19.1924879,1306,3.28
43.724053,19.818592,681,3.28
46.1175,19.200817,654,3.3
50.33672,19.622584,850,3.3
39.11522,19.757236,583,3.31
48.777685,18.8806107,579,3.31
38.51472,19.498653,881,3.32
46.986771,19.2559585,448,3.33
49.82536,19.32235,783,3.33
47.35758,19.3956204,791,3.33
40.0091,19.720617,600,3.33
40.34311,19.948311,745,3.34
44.02643,19.011232,409,3.35
38.7023,19.340483,696,3.36
44.00884,19.416198,408,3.38
48.28149,19.548672,411,3.39
42.640803,19.4112999,523,3.4
42.88293,19.831035,750,3.41
42.166643,19.1736384,588,3.41
40.417658,19.8530112,855,3.43
46.896496,19.140069,408,3.43
42.6815,19.0940006,438,3.44
41.909217,19.8076736,376,3.46
48.977362,19.7421862,531,3.49
42.436374,19.4425913,485,3.5
48.443491,19.395154,522,3.5
40.342912,19.9483032,855,3.5
